Category,shippedCogs_this_year,shippedCogs_last_year,YoY % shippedCogs,shippedRevenue_this_year,shippedRevenue_last_year,YoY % shippedRevenue,shippedUnits_this_year,shippedUnits_last_year,YoY % shippedUnits,glanceViews_this_year,glanceViews_last_year,YoY % glanceViews
category83,134.56,98.33,36.84531679039968,180.64,146.85,23.00987402110997,4,3,33.33333333333333,60,54,11.11111111111111
category84,458.4,855.68,-46.42857142857143,732.86,1315.44,-44.28784285106124,15,28,-46.42857142857143,915,422,116.82464454976302
category85,959852.51,674770.79,42.24867528720382,1645105.39,1322091.21,24.432064713598688,59755,45711,30.723458248561613,348599,282711,23.30577869272862
category86,91832.86,31845.97,188.36571786006203,139434.26,56546.38,146.58388388434415,4449,1534,190.026075619296,60005,37350,60.655957161981256
category87,207.3,165.84,25.000000000000007,319.9,260.94,22.595232620525785,10,8,25.0,109,200,-45.5
category88,494.66,604.3199999999999,-18.14601535610272,1024.59,1114.68,-8.082140165787504,41,45,-8.88888888888889,711,908,-21.696035242290748
category89,2555.96,2018.25,26.6423882076056,5021.3,3589.56,39.88622560982405,109,98,11.224489795918368,2042,1560,30.897435897435894
category90,6055.72,735.75,723.0676180767924,11631.57,1629.04,614.0137749840396,129,14,821.4285714285713,3983,1256,217.1178343949045
category91,14768.2,18007.97,-17.990756315120482,29856.06,34920.06,-14.50169329605962,726,870,-16.551724137931036,13776,14597,-5.62444337877646
category92,9360.0,15596.0,-39.98461143883047,17318.44,28659.66,-39.57206749835833,162,271,-40.22140221402214,11324,12341,-8.240823272020096
category93,302.05,710.0,-57.45774647887324,560.87,1227.39,-54.303848002672325,5,12,-58.333333333333336,262,640,-59.06249999999999
